time,x,y,z
2.05,-8.893360478,-10.32650145,25.53871356
2.06,-9.035021417,-10.43239286,25.78506058
2.07,-9.172284653,-10.5173998,26.04780878
2.08,-9.303483799,-10.57954205,26.32424765
2.09,-9.426933954,-10.61708557,26.61129199
2.1,-9.540960281,-10.62861235,26.90551367
2.11,-9.643930415,-10.61308769,27.20318935
2.12,-9.734289902,-10.56992097,27.50036408
2.13,-9.810599574,-10.49901582,27.79292966
2.14,-9.871573468,-10.40080591,28.07671565
2.15,-9.916115716,-10.27627299,28.3475896
2.16,-9.94335466,-10.12694452,28.60156228
2.17,-9.952672474,-9.954869863,28.83489275
2.18,-9.943728632,-9.7625748,29.04418803
2.19,-9.916475854,-9.552996293,29.22649185
2.2,-9.871167473,-9.329400329,29.37935799
2.21,-9.808355633,-9.095287254,29.50090425
2.22,-9.728880263,-8.854289723,29.58984467
2.23,-9.633849245,-8.610068884,29.64549906
2.24,-9.524610742,-8.366214332,29.66778055
2.25,-9.402719015,-8.126152842,29.65716298
2.26,-9.269895415,-7.893069991,29.61463159
2.27,-9.127986365,-7.66984759,29.54162087
2.28,-8.978920227,-7.459018541,29.439944
2.29,-8.824664842,-7.262739464,29.31171831
2.3,-8.667187324,-7.082780252,29.15929076
2.31,-8.508417455,-6.920528832,28.98516702
2.32,-8.350215637,-6.777008702,28.79194669
2.33,-8.194346088,-6.652906473,28.58226664
2.34,-8.04245556,-6.548606517,28.35875357
2.35,-7.89605762,-6.464229933,28.12398595
2.36,-7.756522235,-6.399675306,27.88046538
2.37,-7.62507023,-6.354659109,27.63059646
2.38,-7.502772023,-6.328754024,27.3766743
2.39,-7.390549977,-6.32142389,27.12087847
2.4,-7.289183652,-6.332054391,26.86527232
2.41,-7.199317252,-6.359978955,26.61180621
2.42,-7.121468577,-6.404499634,26.36232396
2.43,-7.05603888,-6.464902958,26.11857107
2.44,-7.003323044,-6.540470962,25.88220428
2.45,-6.96351963,-6.630487648,25.65480146
2.46,-6.936740371,-6.734241283,25.43787133
2.47,-6.923018794,-6.851022922,25.23286254
2.48,-6.922317727,-6.980121591,25.04117154
2.49,-6.934535473,-7.120816557,24.8641491
2.5,-6.959510552,-7.272367097,24.70310488
2.51,-6.997024901,-7.434000181,24.55931001
2.52,-7.046805524,-7.604896492,24.43399718
2.53,-7.108524585,-7.784175197,24.32835813
2.54,-7.181797999,-7.970877923,24.24353815
2.55,-7.266182622,-8.163952439,24.18062732
2.56,-7.361172153,-8.3622366,24.1406484
2.57,-7.466191945,-8.564443184,24.12454088
2.58,-7.580592933,-8.769146366,24.13314128
2.59,-7.703644972,-8.974770654,24.16715958
2.6,-7.834529901,-9.179583231,24.22715173
2.61,-7.972334761,-9.381690744,24.3134887
2.62,-8.116045598,-9.579041644,24.42632241
2.63,-8.264542403,-9.769435223,24.56554937
2.64,-8.416595753,-9.950538444,24.7307731
2.65,-8.570865804,-10.11991156,24.92126685
2.66,-8.725904261,-10.27504327,25.13593838
2.67,-8.880159995,-10.41339585,25.37329898
2.68,-9.031988899,-10.53246012,25.63143935
2.69,-9.179668487,-10.62981965,25.90801475
2.7,-9.321417603,-10.70322262,26.20024243
2.71,-9.455421385,-10.75065929,26.50491363
2.72,-9.579861364,-10.77044178,26.8184224
2.73,-9.692950257,-10.7612825,27.1368125
2.74,-9.792970669,-10.72236675,27.45584297
2.75,-9.878316547,-10.65341473,27.77107141
2.76,-9.947535885,-10.55472825,28.07795296
2.77,-9.999372895,-10.42721795,28.37195139
2.78,-10.03280768,-10.27240761,28.64865756
